ID,Categoría,Subcategoría,Palabras Clave (Para el bot),Respuesta Verificada (Lenguaje sencillo para el chat),Disclaimer Obligatorio (¡Crítico!),Paginas,Documento,Enlace
ANMI-0001,Definición y Síntomas,¿Qué es la Anemia? (Básico),"anemia, explicacion, definicion","""🩺 Hola. La *anemia* es una condición que ocurre cuando a la sangre le falta suficiente *hierro*. Es importante prevenirla y tratarla a tiempo, especialmente en bebés y gestantes.""","""Recuerda, yo solo doy información general. El diagnóstico solo lo puede hacer un profesional de la salud con un examen de sangre.""",6,Resolucion_Ministerial_n_251_2024_MINSA.pdf,https://drive.google.com/file/d/1hZSXK8y7sbgNLRXKrxErAFSkjh8kfkW0/view?usp=drive_link
ANMI-0002,Definición y Síntomas,¿Qué es la Anemia? (Técnico) (Hemoglobina),"falta, hierro, anemia, deficiencia, ferropenica","""🩺 La *anemia* ferropénica (que es la más común) es cuando el cuerpo no tiene el hierro que necesita. El hierro es un mineral vital para fabricar la *hemoglobina*, que transporta el oxígeno en la sangre.""","""Mi función es educativa. Si tienes dudas sobre la salud de tu bebé, consulta en tu centro de salud.""",6,Resolucion_Ministerial_n_251_2024_MINSA.pdf,https://drive.google.com/file/d/1hZSXK8y7sbgNLRXKrxErAFSkjh8kfkW0/view?usp=drive_link
ANMI-0003,Definición y Síntomas,¿Qué es la Anemia? (Simple),"anemia, explicame, significa","""🩺 Claro. Tener *anemia* significa que la sangre tiene bajo el *hierro*. El hierro es como el 'combustible' para que la sangre lleve oxígeno al cuerpo. Sin él, el cuerpo no funciona al 100%.""","""Yo no puedo diagnosticar. Para saber si tu bebé tiene anemia, debe pasar por su control de hemoglobina en el centro de salud.""",6,Resolucion_Ministerial_n_251_2024_MINSA.pdf,https://drive.google.com/file/d/1hZSXK8y7sbgNLRXKrxErAFSkjh8kfkW0/view?usp=drive_link
ANMI-0004,Definición y Síntomas,¿Qué es la Anemia? (Enfoque Niño),"anemia, ninos, infantil, bebe","""🩺 La *anemia* en los bebés es una falta de *hierro*. Es muy importante prevenirla en esta etapa, porque el hierro es fundamental para que su cerebro crezca sano y fuerte.""","""Acude a los controles CRED de tu bebé. Allí le harán su descarte de anemia (prueba de hemoglobina).""",6,Resolucion_Ministerial_n_251_2024_MINSA.pdf,https://drive.google.com/file/d/1hZSXK8y7sbgNLRXKrxErAFSkjh8kfkW0/view?usp=drive_link
ANMI-0005,Definición y Síntomas,Síntomas (Lista General),"sintomas, anemia, signos","""🩺 Los síntomas más comunes son: cansancio y palidez (piel más clara de lo normal), tener más sueño de lo habitual, irritabilidad y, a veces, falta de apetito.""","""¡Atención! Estos síntomas son generales y pueden deberse a muchas causas. Yo no puedo diagnosticar. Acude siempre a un profesional de la salud.""",16,Resolucion_Ministerial_n_251_2024_MINSA.pdf,https://drive.google.com/file/d/1hZSXK8y7sbgNLRXKrxErAFSkjh8kfkW0/view?usp=drive_link
ANMI-0006,Definición y Síntomas,Síntomas (Variación),"anemia, palido, nino, hijo","""🩺 Debes estar atenta si notas que tu bebé está muy pálido, más cansado de lo normal, o duerme mucho más de lo habitual. También podría estar más irritable o 'fastidiado'.""","""La única forma segura de saberlo es con su prueba de hemoglobina (descarte). Los síntomas por sí solos no confirman nada.""",16,Resolucion_Ministerial_n_251_2024_MINSA.pdf,https://drive.google.com/file/d/1hZSXK8y7sbgNLRXKrxErAFSkjh8kfkW0/view?usp=drive_link
ANMI-0007,Definición y Síntomas,Síntoma: Palidez,"palidez, ojos, manos","""🩺 La palidez es cuando la piel se ve más clara de lo usual. Un lugar clave para notarlo es en la parte interna de los párpados o en las palmas de las manos; se pueden ver más pálidas o 'sin color'.""","""La palidez es un signo, pero no un diagnóstico. Debe ser evaluado por personal de salud.""",16,Resolucion_Ministerial_n_251_2024_MINSA.pdf,https://drive.google.com/file/d/1hZSXK8y7sbgNLRXKrxErAFSkjh8kfkW0/view?usp=drive_link
ANMI-0008,Definición y Síntomas,Síntoma: Sueño/Cansancio,"duerme, cansado, fatiga, energia, mucho, bebe, sueno","""🩺 El sueño incrementado (somnolencia) y el cansancio (fatiga) son síntomas frecuentes. Como la sangre no transporta bien el oxígeno, el cuerpo tiene menos energía.""","""Si notas un cambio grande en su energía, es una señal para llevarlo a su control de salud.""",16,Resolucion_Ministerial_n_251_2024_MINSA.pdf,https://drive.google.com/file/d/1hZSXK8y7sbgNLRXKrxErAFSkjh8kfkW0/view?usp=drive_link
ANMI-0009,Definición y Síntomas,Síntoma: Irritabilidad,"irritable, llora, humor, fastidiado, mucho, hijo, irritabilidad","""🩺 La irritabilidad o el llanto sin una razón clara pueden ser un signo. La falta de *hierro* puede afectar el comportamiento y el humor del bebé.""","""Este síntoma es muy general. Solo un profesional de salud puede determinar la causa.""",16,Resolucion_Ministerial_n_251_2024_MINSA.pdf,https://drive.google.com/file/d/1hZSXK8y7sbgNLRXKrxErAFSkjh8kfkW0/view?usp=drive_link
ANMI-0010,Definición y Síntomas,Síntoma: Apetito,"quita, hambre, apetito, falta, come, comer, bebe, anemia","""🩺 La pérdida de apetito es otro síntoma que puede estar relacionado con la *anemia*. Es importante que lo lleves a un control para que lo evalúen.""","""A veces, un síntoma de anemia por falta de hierro es la 'Pica', que es el deseo de comer cosas que no son alimentos, como tierra, tiza, hielo o cabello.""",16,Resolucion_Ministerial_n_251_2024_MINSA.pdf,https://drive.google.com/file/d/1hZSXK8y7sbgNLRXKrxErAFSkjh8kfkW0/view?usp=drive_link
