ID,Categoría,Subcategoría
ANMI-0001,Definición y Síntomas,¿Qué es la Anemia? (Básico)
ANMI-0002,Definición y Síntomas,¿Qué es la Anemia? (Técnico) (Hemoglobina)
ANMI-0003,Definición y Síntomas,¿Qué es la Anemia? (Simple)
ANMI-0004,Definición y Síntomas,¿Qué es la Anemia? (Enfoque Niño)
ANMI-0005,Definición y Síntomas,Síntomas (Lista General)
ANMI-0006,Definición y Síntomas,Síntomas (Variación)
ANMI-0007,Definición y Síntomas,Síntoma: Palidez
ANMI-0008,Definición y Síntomas,Síntoma: Sueño/Cansancio
ANMI-0009,Definición y Síntomas,Síntoma: Irritabilidad
ANMI-0010,Definición y Síntomas,Síntoma: Apetito
ANMI-0011,Definición y Síntomas,Síntoma: Pica (Tierra)
ANMI-0012,Definición y Síntomas,Síntoma: Mareos
ANMI-0013,Definición y Síntomas,Anemia Silenciosa
ANMI-0014,Definición y Síntomas,Anemia Silenciosa (Variación)
ANMI-0015,Definición y Síntomas,Consecuencias (General)
ANMI-0016,Definición y Síntomas,Consecuencias (Cerebro)
ANMI-0017,Definición y Síntomas,Consecuencias (Crecimiento)
ANMI-0018,Definición y Síntomas,Consecuencias (Defensas)
ANMI-0019,Definición y Síntomas,Consecuencias (Escolar)
ANMI-0020,Definición y Síntomas,Consecuencias (Gestante)
ANMI-0021,Definición y Síntomas,Consecuencias (Gestante/Parto)
ANMI-0022,Definición y Síntomas,Consecuencias (Gestante/Bebé)
ANMI-0023,Definición y Síntomas,Consecuencias (Adulto)
ANMI-0024,Definición y Síntomas,Estadísticas (Perú)
ANMI-0025,Definición y Síntomas,Estadísticas (Zonas)
ANMI-0026,Definición y Síntomas,Estadísticas (Edad)
ANMI-0027,Definición y Síntomas,Estadísticas (Gestantes)
ANMI-0028,Definición y Síntomas,Diagnóstico (Cómo) (Hemoglobina)
ANMI-0029,Definición y Síntomas,Diagnóstico (Lugar)
ANMI-0030,Definición y Síntomas,Diagnóstico (No visual) (Hemoglobina)
ANMI-0031,Prevención (Bebés),Medidas Clave (General)
ANMI-0032,Prevención (Bebés),Medidas Clave (Enfoque)
ANMI-0033,Prevención (Bebés),Medidas Clave (Simple)
ANMI-0034,Prevención (Bebés),Lactancia (LME)
ANMI-0035,Prevención (Bebés),Lactancia (Calostro)
ANMI-0036,Prevención (Bebés),Lactancia (Duración)
ANMI-0037,Prevención (Bebés),Lactancia (Inicio)
ANMI-0038,Prevención (Bebés),Corte de Cordón (Definición)
ANMI-0039,Prevención (Bebés),Corte de Cordón (Por qué)
ANMI-0040,Prevención (Bebés),Corte de Cordón (Cuánto hierro)
ANMI-0041,Prevención (Bebés),Higiene (Lavado de manos)
ANMI-0042,Prevención (Bebés),Higiene (Agua Segura)
ANMI-0043,Prevención (Bebés),Higiene (Parásitos)
ANMI-0044,Prevención (Bebés),Controles CRED (Importancia)
ANMI-0045,Prevención (Bebés),Controles CRED (Descarte) (Hemoglobina)
ANMI-0046,Prevención (Bebés),Controles CRED (Frecuencia)
ANMI-0047,Prevención (Gestantes),Medidas Clave (General)
ANMI-0048,Prevención (Gestantes),Medidas Clave (Variación)
ANMI-0049,Prevención (Gestantes),Controles Prenatales (Importancia)
ANMI-0050,Prevención (Gestantes),Controles Prenatales (Descarte) (Hemoglobina)
ANMI-0051,Prevención (Gestantes),Ácido Fólico (Importancia)
ANMI-0052,Prevención (Gestantes),Ácido Fólico (Dosis)
ANMI-0053,Prevención (Gestantes),Alimentación (Hierro)
ANMI-0054,Prevención (Gestantes),Alimentación (Vitamina C)
ANMI-0055,Prevención (Gestantes),Alimentación (Qué evitar)
ANMI-0056,Prevención (Gestantes),Alimentación (Hígado)
ANMI-0057,Prevención (Gestantes),Ambiente Saludable
